1.73E+01,1.02E+20
3.61E+01,3.26E+20
5.49E+01,3.30E+20
7.37E+01,3.54E+20
9.24E+01,4.24E+20
1.11E+02,4.65E+20
1.30E+02,4.72E+20
1.49E+02,4.42E+20
1.68E+02,3.95E+20
1.86E+02,3.46E+20
2.05E+02,2.97E+20
2.24E+02,2.50E+20
2.43E+02,2.08E+20
2.61E+02,1.73E+20
2.80E+02,1.41E+20
2.99E+02,1.13E+20
3.18E+02,9.12E+19
3.37E+02,7.26E+19
3.55E+02,5.64E+19
3.74E+02,4.50E+19
3.93E+02,3.51E+19
4.12E+02,2.71E+19
4.30E+02,2.14E+19
4.49E+02,1.72E+19
4.68E+02,1.33E+19
4.87E+02,1.06E+19
5.06E+02,8.56E+18
5.24E+02,6.76E+18
5.43E+02,5.41E+18
5.62E+02,4.44E+18
5.81E+02,3.61E+18
5.99E+02,3.13E+18
6.18E+02,2.60E+18
6.37E+02,2.22E+18
6.56E+02,1.82E+18
6.75E+02,1.61E+18
6.93E+02,1.47E+18
7.12E+02,1.27E+18
7.31E+02,1.14E+18
7.50E+02,1.01E+18
7.68E+02,9.09E+17
7.87E+02,7.88E+17
8.06E+02,6.64E+17
8.25E+02,6.83E+17
8.44E+02,5.65E+17
8.62E+02,4.80E+17
8.81E+02,4.38E+17
9.00E+02,4.30E+17
9.19E+02,3.63E+17
9.37E+02,3.37E+17
9.56E+02,2.68E+17
9.75E+02,2.68E+17
9.93E+02,2.64E+17
1.01E+03,2.40E+17
1.02E+03,2.37E+17
1.04E+03,2.21E+17
1.05E+03,2.47E+17
1.06E+03,2.28E+17
1.08E+03,1.95E+17
1.09E+03,1.95E+17
1.11E+03,2.05E+17
1.12E+03,1.90E+17
1.13E+03,1.88E+17
1.15E+03,2.00E+17
1.16E+03,1.69E+17
1.18E+03,1.77E+17
1.19E+03,2.00E+17
1.20E+03,1.58E+17
1.22E+03,2.28E+17
1.23E+03,1.86E+17
1.25E+03,1.81E+17
1.26E+03,1.70E+17
1.28E+03,1.29E+17
1.29E+03,1.41E+17
1.30E+03,1.81E+17
1.32E+03,1.43E+17
1.33E+03,1.29E+17
1.35E+03,1.55E+17
1.36E+03,1.44E+17
1.37E+03,1.30E+17
1.39E+03,1.11E+17
1.40E+03,1.29E+17
1.42E+03,1.43E+17
1.43E+03,1.01E+17
1.44E+03,1.24E+17
1.46E+03,1.34E+17
1.47E+03,1.30E+17
1.49E+03,9.39E+16
1.50E+03,1.20E+17
1.51E+03,1.25E+17
1.53E+03,1.03E+17
1.54E+03,7.65E+16
1.56E+03,9.39E+16
1.57E+03,8.87E+16
1.58E+03,8.52E+16
1.60E+03,7.65E+16
1.61E+03,6.26E+16
1.63E+03,7.30E+16
1.64E+03,7.48E+16
1.66E+03,5.39E+16
1.67E+03,8.52E+16
1.68E+03,8.87E+16
1.70E+03,5.22E+16
1.71E+03,8.69E+16
1.73E+03,7.13E+16
1.74E+03,4.70E+16
1.75E+03,4.52E+16
1.77E+03,5.39E+16
1.78E+03,6.26E+16
1.80E+03,4.35E+16
1.81E+03,5.22E+16
1.82E+03,4.35E+16
1.84E+03,3.48E+16
1.85E+03,5.04E+16
1.87E+03,3.83E+16
1.88E+03,5.22E+16
1.89E+03,4.00E+16
1.91E+03,4.17E+16
1.92E+03,4.70E+16
1.94E+03,2.61E+16
1.95E+03,2.78E+16
1.97E+03,3.30E+16
1.98E+03,4.00E+16
1.99E+03,2.26E+16
2.01E+03,3.30E+16
